index,City,Date,Card Type,Exp Type,Gender,Amount,Reward Points Earned,Age Group,Annual Income,Credit Limit,Credit Utilization (%),Transaction Category (Online vs. POS)
4416,"Ahmedabad, India",16-Sep-14,Platinum,Bills,F,12125,121,26-35,800000,200000,6.06,POS
4417,"Bengaluru, India",04-Jan-14,Signature,Fuel,M,130942,1309,26-35,500000,100000,100,POS
4418,"Delhi, India",12-Sep-14,Signature,Entertainment,M,191863,1918,26-35,300000,50000,100,Online
4419,"Greater Mumbai, India",11-Mar-15,Silver,Grocery,M,143893,1438,26-35,300000,50000,100,POS
4420,"Ahmedabad, India",05-Sep-14,Gold,Grocery,M,220653,2206,18-25,300000,50000,100,Online
4421,"Ahmedabad, India",10-Dec-13,Platinum,Food,F,102005,1020,26-35,300000,50000,100,POS
4422,"Greater Mumbai, India",11-Mar-15,Silver,Grocery,F,217325,2173,18-25,2000000,500000,43.46,Online
4423,"Ahmedabad, India",08-Jun-14,Gold,Bills,M,72226,722,36-45,2000000,500000,14.45,POS
4424,"Bengaluru, India",17-Mar-14,Signature,Fuel,F,37489,374,26-35,500000,100000,37.49,POS
4425,"Ahmedabad, India",12-Oct-14,Silver,Grocery,F,273138,2731,26-35,2000000,500000,54.63,Online
4426,"Bengaluru, India",28-Aug-14,Gold,Entertainment,M,190335,1903,26-35,800000,200000,95.17,Online
4427,"Greater Mumbai, India",07-Dec-14,Signature,Food,F,108907,1089,36-45,2000000,500000,21.78,POS
4428,"Bengaluru, India",09-Feb-14,Platinum,Fuel,F,213169,2131,46-60,1200000,300000,71.06,Online
4429,"Delhi, India",15-Jun-14,Silver,Fuel,M,50610,506,26-35,300000,50000,100,POS
4430,"Bengaluru, India",30-Apr-15,Silver,Food,M,51055,510,18-25,500000,100000,51.05,POS
4431,"Ahmedabad, India",19-Jul-14,Gold,Fuel,M,166212,1662,26-35,1200000,300000,55.4,Online
4432,"Delhi, India",14-Mar-14,Platinum,Fuel,M,188951,1889,36-45,2000000,500000,37.79,Online
4433,"Ahmedabad, India",23-Jul-14,Silver,Fuel,M,197977,1979,26-35,1200000,300000,65.99,Online
4434,"Ahmedabad, India",24-Oct-14,Platinum,Grocery,M,173957,1739,46-60,1200000,300000,57.99,Online
4435,"Delhi, India",28-Mar-15,Signature,Fuel,M,150801,1508,46-60,500000,100000,100,POS
4436,"Delhi, India",20-Sep-14,Signature,Grocery,F,207165,2071,26-35,300000,50000,100,Online
4437,"Bengaluru, India",01-Mar-15,Signature,Bills,M,115946,1159,26-35,800000,200000,57.97,POS
4438,"Bengaluru, India",02-May-14,Signature,Fuel,M,281939,2819,18-25,500000,100000,100,Online
4439,"Delhi, India",23-Feb-15,Platinum,Bills,F,164903,1649,36-45,300000,50000,100,Online
4440,"Delhi, India",19-Feb-15,Silver,Bills,F,241481,2414,26-35,300000,50000,100,Online
4441,"Greater Mumbai, India",24-Jan-15,Platinum,Food,M,203926,2039,18-25,1200000,300000,67.98,Online
4442,"Ahmedabad, India",08-Aug-14,Signature,Grocery,F,239328,2393,18-25,2000000,500000,47.87,Online
4443,"Delhi, India",24-Dec-14,Signature,Bills,F,169384,1693,26-35,800000,200000,84.69,Online
4444,"Greater Mumbai, India",24-Nov-14,Silver,Grocery,M,108321,1083,26-35,500000,100000,100,POS
4445,"Delhi, India",27-Jun-14,Silver,Grocery,M,186117,1861,18-25,500000,100000,100,Online
4446,"Bengaluru, India",31-Jan-15,Platinum,Bills,F,168268,1682,60+,2000000,500000,33.65,Online
4447,"Ahmedabad, India",13-Jan-14,Gold,Fuel,M,61529,615,36-45,800000,200000,30.76,POS
4448,"Greater Mumbai, India",18-Nov-13,Signature,Grocery,M,6593,65,26-35,2000000,500000,1.32,POS
4449,"Delhi, India",02-Feb-14,Signature,Fuel,F,247327,2473,18-25,300000,50000,100,Online
4450,"Bengaluru, India",07-Apr-14,Silver,Food,M,249391,2493,18-25,500000,100000,100,Online
4451,"Greater Mumbai, India",07-Jan-15,Signature,Fuel,M,163813,1638,46-60,500000,100000,100,Online
4452,"Delhi, India",13-Jun-14,Gold,Grocery,M,142667,1426,26-35,2000000,500000,28.53,POS
4453,"Bengaluru, India",02-Dec-13,Platinum,Fuel,M,129549,1295,18-25,800000,200000,64.77,POS
4454,"Delhi, India",07-Dec-13,Platinum,Food,F,274786,2747,26-35,2000000,500000,54.96,Online
4455,"Greater Mumbai, India",23-Mar-15,Signature,Entertainment,F,172444,1724,36-45,500000,100000,100,Online
4456,"Ahmedabad, India",17-Apr-14,Gold,Food,M,53934,539,26-35,500000,100000,53.93,POS
4457,"Bengaluru, India",06-Sep-14,Signature,Grocery,F,260751,2607,18-25,300000,50000,100,Online
4458,"Ahmedabad, India",18-Aug-14,Silver,Fuel,F,133027,1330,26-35,300000,50000,100,POS
4459,"Bengaluru, India",09-Jan-15,Platinum,Bills,F,184915,1849,18-25,1200000,300000,61.64,Online
4460,"Delhi, India",04-Jan-15,Signature,Grocery,M,234569,2345,26-35,300000,50000,100,Online
4461,"Greater Mumbai, India",25-Mar-15,Signature,Bills,F,157971,1579,36-45,2000000,500000,31.59,Online
4462,"Bengaluru, India",06-Nov-13,Silver,Fuel,F,280870,2808,26-35,800000,200000,100,Online
4463,"Delhi, India",03-Apr-14,Silver,Bills,F,176785,1767,46-60,500000,100000,100,Online
4464,"Bengaluru, India",10-May-14,Gold,Fuel,M,76781,767,26-35,2000000,500000,15.36,POS
4465,"Bengaluru, India",02-Apr-14,Signature,Entertainment,M,280054,2800,36-45,800000,200000,100,Online
4466,"Bengaluru, India",22-Mar-14,Silver,Food,F,27234,272,18-25,800000,200000,13.62,POS
4467,"Ahmedabad, India",27-Feb-14,Signature,Grocery,F,11078,110,26-35,2000000,500000,2.22,POS
4468,"Greater Mumbai, India",20-Aug-14,Gold,Fuel,M,36127,361,26-35,800000,200000,18.06,POS
4469,"Greater Mumbai, India",04-Oct-14,Signature,Food,M,223623,2236,18-25,500000,100000,100,Online
4470,"Greater Mumbai, India",09-Jan-14,Signature,Grocery,F,26890,268,36-45,800000,200000,13.44,POS
4471,"Greater Mumbai, India",03-Jan-14,Gold,Grocery,M,105181,1051,26-35,500000,100000,100,POS
4472,"Bengaluru, India",21-Dec-13,Signature,Grocery,M,42867,428,60+,800000,200000,21.43,POS
4473,"Bengaluru, India",30-Nov-14,Gold,Grocery,F,151535,1515,36-45,1200000,300000,50.51,POS
4474,"Greater Mumbai, India",09-Oct-13,Platinum,Fuel,F,278582,2785,18-25,2000000,500000,55.72,Online
4475,"Ahmedabad, India",22-May-15,Platinum,Fuel,M,133372,1333,36-45,2000000,500000,26.67,POS
4476,"Delhi, India",06-May-14,Signature,Grocery,M,57585,575,26-35,300000,50000,100,POS
4477,"Greater Mumbai, India",14-Jun-14,Gold,Bills,F,156138,1561,36-45,800000,200000,78.07,Online
4478,"Delhi, India",02-Dec-13,Silver,Bills,M,75764,757,36-45,1200000,300000,25.25,POS
4479,"Greater Mumbai, India",16-Oct-14,Silver,Fuel,F,28176,281,26-35,500000,100000,28.18,POS
4480,"Greater Mumbai, India",03-Feb-14,Platinum,Entertainment,M,217322,2173,26-35,1200000,300000,72.44,Online
4481,"Delhi, India",09-Jan-14,Silver,Food,F,95261,952,26-35,300000,50000,100,POS
4482,"Ahmedabad, India",03-Dec-14,Gold,Bills,F,222804,2228,36-45,300000,50000,100,Online
4483,"Delhi, India",20-Aug-14,Silver,Food,M,154942,1549,26-35,1200000,300000,51.65,Online
4484,"Ahmedabad, India",11-Aug-14,Platinum,Grocery,M,185278,1852,36-45,1200000,300000,61.76,Online
4485,"Delhi, India",10-Oct-13,Platinum,Entertainment,M,259740,2597,26-35,300000,50000,100,Online
4486,"Delhi, India",24-Sep-14,Signature,Bills,M,32612,326,36-45,300000,50000,65.22,POS
4487,"Ahmedabad, India",14-Mar-15,Silver,Entertainment,M,223319,2233,26-35,1200000,300000,74.44,Online
4488,"Bengaluru, India",29-May-14,Signature,Bills,M,239241,2392,46-60,2000000,500000,47.85,Online
4489,"Delhi, India",13-Apr-15,Silver,Entertainment,M,133201,1332,36-45,800000,200000,66.6,POS
4490,"Delhi, India",08-Jan-15,Silver,Bills,M,270969,2709,46-60,800000,200000,100,Online
4491,"Delhi, India",31-Aug-14,Signature,Grocery,M,171879,1718,26-35,1200000,300000,57.29,Online
4492,"Bengaluru, India",21-Nov-13,Signature,Bills,F,71967,719,26-35,1200000,300000,23.99,POS
4493,"Bengaluru, India",13-Oct-14,Gold,Bills,F,86680,866,36-45,2000000,500000,17.34,POS
4494,"Delhi, India",10-Dec-13,Silver,Grocery,M,139475,1394,18-25,500000,100000,100,POS
4495,"Bengaluru, India",29-Oct-14,Gold,Grocery,F,61654,616,36-45,800000,200000,30.83,POS
4496,"Delhi, India",11-Sep-14,Silver,Grocery,F,29685,296,26-35,300000,50000,59.37,POS
4497,"Delhi, India",10-Nov-13,Platinum,Entertainment,F,51185,511,26-35,1200000,300000,17.06,POS
4498,"Greater Mumbai, India",28-Mar-14,Silver,Fuel,M,42681,426,26-35,1200000,300000,14.23,POS
4499,"Bengaluru, India",27-Oct-14,Signature,Entertainment,F,126112,1261,18-25,300000,50000,100,POS
4500,"Delhi, India",04-Apr-15,Gold,Bills,M,140317,1403,36-45,2000000,500000,28.06,POS
4501,"Bengaluru, India",29-Oct-14,Platinum,Fuel,F,92115,921,46-60,500000,100000,92.12,POS
4502,"Delhi, India",02-Feb-14,Silver,Food,M,17683,176,26-35,500000,100000,17.68,POS
4503,"Bengaluru, India",22-Feb-15,Silver,Food,F,29142,291,26-35,500000,100000,29.14,POS
4504,"Bengaluru, India",24-Jan-15,Silver,Food,F,290383,2903,46-60,2000000,500000,58.08,Online
4505,"Delhi, India",09-Oct-13,Gold,Fuel,F,299642,2996,36-45,800000,200000,100,Online
4506,"Ahmedabad, India",20-Oct-13,Signature,Bills,F,99631,996,18-25,2000000,500000,19.93,POS
4507,"Delhi, India",17-Jan-15,Gold,Entertainment,M,125123,1251,26-35,800000,200000,62.56,POS
4508,"Ahmedabad, India",19-Jul-14,Gold,Food,F,187763,1877,60+,300000,50000,100,Online
4509,"Greater Mumbai, India",28-Dec-13,Gold,Bills,M,248970,2489,46-60,300000,50000,100,Online
4510,"Bengaluru, India",11-Feb-15,Platinum,Bills,M,34867,348,26-35,1200000,300000,11.62,POS
4511,"Ahmedabad, India",13-Jul-14,Platinum,Grocery,F,224138,2241,60+,2000000,500000,44.83,Online
4512,"Delhi, India",24-Nov-14,Silver,Bills,M,104689,1046,26-35,300000,50000,100,POS
4513,"Bengaluru, India",08-Oct-13,Signature,Bills,F,76267,762,26-35,1200000,300000,25.42,POS
4514,"Ahmedabad, India",02-Feb-14,Signature,Fuel,F,291636,2916,26-35,500000,100000,100,Online
4515,"Bengaluru, India",22-May-14,Signature,Grocery,F,255384,2553,26-35,300000,50000,100,Online
4516,"Ahmedabad, India",04-May-15,Gold,Fuel,M,79296,792,18-25,800000,200000,39.65,POS
4517,"Ahmedabad, India",07-Oct-14,Platinum,Entertainment,F,185050,1850,26-35,800000,200000,92.52,Online
4518,"Greater Mumbai, India",06-Jan-15,Signature,Entertainment,F,275315,2753,60+,1200000,300000,91.77,Online
4519,"Greater Mumbai, India",19-Oct-13,Platinum,Entertainment,M,191660,1916,36-45,1200000,300000,63.89,Online
4520,"Greater Mumbai, India",25-Jan-14,Signature,Food,F,198805,1988,36-45,800000,200000,99.4,Online
4521,"Bengaluru, India",17-Aug-14,Signature,Food,F,286474,2864,26-35,1200000,300000,95.49,Online
4522,"Greater Mumbai, India",16-Jan-14,Signature,Food,F,153044,1530,18-25,1200000,300000,51.01,POS
4523,"Greater Mumbai, India",30-Aug-14,Platinum,Bills,M,169787,1697,18-25,300000,50000,100,Online
4524,"Delhi, India",20-Apr-15,Silver,Entertainment,F,150141,1501,26-35,2000000,500000,30.03,POS
4525,"Ahmedabad, India",15-Mar-14,Signature,Entertainment,M,115464,1154,46-60,2000000,500000,23.09,POS
4526,"Greater Mumbai, India",13-Mar-15,Signature,Bills,F,272039,2720,60+,800000,200000,100,Online
4527,"Greater Mumbai, India",07-Feb-15,Platinum,Grocery,F,217841,2178,18-25,300000,50000,100,Online
4528,"Delhi, India",15-May-14,Platinum,Bills,M,174421,1744,26-35,800000,200000,87.21,Online
4529,"Greater Mumbai, India",31-Oct-14,Silver,Grocery,M,280490,2804,26-35,500000,100000,100,Online
4530,"Greater Mumbai, India",22-Nov-13,Silver,Bills,F,128746,1287,36-45,800000,200000,64.37,POS
4531,"Greater Mumbai, India",19-Dec-14,Platinum,Food,F,80189,801,36-45,300000,50000,100,POS
4532,"Bengaluru, India",17-Dec-13,Silver,Grocery,M,237114,2371,26-35,500000,100000,100,Online
4533,"Bengaluru, India",10-Aug-14,Silver,Bills,M,41993,419,26-35,2000000,500000,8.4,POS
4534,"Bengaluru, India",05-Mar-14,Silver,Fuel,M,150636,1506,36-45,300000,50000,100,POS
4535,"Greater Mumbai, India",21-Sep-14,Silver,Bills,M,245265,2452,18-25,800000,200000,100,Online
4536,"Ahmedabad, India",17-Jul-14,Platinum,Fuel,M,291025,2910,46-60,2000000,500000,58.2,Online
4537,"Bengaluru, India",21-Feb-15,Signature,Entertainment,M,170597,1705,36-45,1200000,300000,56.87,Online
4538,"Ahmedabad, India",27-Jan-14,Silver,Bills,M,77118,771,18-25,500000,100000,77.12,POS
4539,"Bengaluru, India",22-Apr-14,Signature,Fuel,M,291274,2912,36-45,500000,100000,100,Online
4540,"Ahmedabad, India",24-Nov-13,Silver,Entertainment,F,15392,153,18-25,2000000,500000,3.08,POS
4541,"Ahmedabad, India",10-Aug-14,Platinum,Entertainment,M,5468,54,18-25,800000,200000,2.73,POS
4542,"Greater Mumbai, India",30-Oct-14,Gold,Fuel,M,23665,236,26-35,800000,200000,11.83,POS
4543,"Greater Mumbai, India",08-Jul-14,Silver,Bills,M,145141,1451,46-60,800000,200000,72.57,POS
4544,"Bengaluru, India",23-Apr-15,Silver,Food,M,218195,2181,36-45,2000000,500000,43.64,Online
4545,"Ahmedabad, India",10-Oct-14,Silver,Entertainment,F,121736,1217,36-45,800000,200000,60.87,POS
4546,"Delhi, India",23-May-15,Silver,Fuel,F,180461,1804,26-35,2000000,500000,36.09,Online
4547,"Bengaluru, India",30-Oct-13,Gold,Grocery,M,57447,574,36-45,2000000,500000,11.49,POS
4548,"Ahmedabad, India",04-Feb-14,Silver,Entertainment,M,180235,1802,60+,800000,200000,90.12,Online
4549,"Greater Mumbai, India",02-Feb-15,Gold,Entertainment,F,93930,939,26-35,500000,100000,93.93,POS
4550,"Greater Mumbai, India",29-Dec-13,Gold,Grocery,M,163867,1638,36-45,300000,50000,100,Online
4551,"Bengaluru, India",29-Dec-13,Silver,Bills,F,19575,195,46-60,800000,200000,9.79,POS
4552,"Ahmedabad, India",21-Jul-14,Silver,Bills,F,289970,2899,36-45,2000000,500000,57.99,Online
4553,"Ahmedabad, India",25-Dec-14,Gold,Food,F,112482,1124,26-35,300000,50000,100,POS
4554,"Ahmedabad, India",18-Aug-14,Silver,Entertainment,F,298417,2984,18-25,2000000,500000,59.68,Online
4555,"Bengaluru, India",14-Jan-14,Signature,Bills,M,148870,1488,36-45,300000,50000,100,POS
4556,"Greater Mumbai, India",04-Jan-15,Gold,Entertainment,M,119344,1193,18-25,800000,200000,59.67,POS
4557,"Bengaluru, India",28-Apr-14,Silver,Grocery,F,62019,620,46-60,300000,50000,100,POS
4558,"Greater Mumbai, India",11-Feb-15,Platinum,Bills,M,82913,829,36-45,1200000,300000,27.64,POS
4559,"Bengaluru, India",10-Jan-15,Signature,Food,F,117710,1177,26-35,300000,50000,100,POS
4560,"Delhi, India",20-Nov-13,Gold,Entertainment,F,210517,2105,36-45,300000,50000,100,Online
4561,"Ahmedabad, India",25-Jan-15,Silver,Food,F,113890,1138,26-35,2000000,500000,22.78,POS
4562,"Bengaluru, India",18-Aug-14,Silver,Entertainment,M,229737,2297,36-45,300000,50000,100,Online
4563,"Ahmedabad, India",05-Jan-15,Platinum,Entertainment,F,265791,2657,26-35,1200000,300000,88.6,Online
4564,"Delhi, India",07-Jan-15,Gold,Grocery,F,130714,1307,26-35,300000,50000,100,POS
4565,"Ahmedabad, India",20-Feb-15,Silver,Food,M,191165,1911,36-45,800000,200000,95.58,Online
4566,"Bengaluru, India",18-May-15,Silver,Fuel,F,119664,1196,46-60,800000,200000,59.83,POS
4567,"Greater Mumbai, India",08-Oct-14,Platinum,Fuel,F,231014,2310,36-45,500000,100000,100,Online
4568,"Delhi, India",07-Mar-14,Gold,Bills,F,76018,760,18-25,2000000,500000,15.2,POS
4569,"Bengaluru, India",11-Jan-15,Gold,Entertainment,F,12766,127,18-25,500000,100000,12.77,POS
4570,"Greater Mumbai, India",09-Feb-15,Gold,Grocery,M,214247,2142,26-35,500000,100000,100,Online
4571,"Bengaluru, India",04-Mar-14,Gold,Fuel,F,7966,79,26-35,500000,100000,7.97,POS
4572,"Delhi, India",20-Jan-15,Gold,Food,F,288805,2888,46-60,2000000,500000,57.76,Online
4573,"Bengaluru, India",14-Aug-14,Platinum,Food,M,100163,1001,46-60,300000,50000,100,POS
4574,"Bengaluru, India",17-Jul-14,Signature,Bills,M,108240,1082,18-25,2000000,500000,21.65,POS
4575,"Ahmedabad, India",19-Dec-13,Signature,Fuel,M,118392,1183,26-35,2000000,500000,23.68,POS
4576,"Bengaluru, India",03-Jan-15,Platinum,Grocery,F,73263,732,26-35,800000,200000,36.63,POS
4577,"Delhi, India",09-Feb-15,Silver,Bills,M,138607,1386,26-35,2000000,500000,27.72,POS
4578,"Ahmedabad, India",20-Aug-14,Signature,Food,F,283746,2837,60+,300000,50000,100,Online
4579,"Bengaluru, India",06-Feb-15,Platinum,Bills,F,177031,1770,26-35,2000000,500000,35.41,Online
4580,"Ahmedabad, India",06-Oct-14,Silver,Bills,F,192491,1924,36-45,300000,50000,100,Online
4581,"Ahmedabad, India",24-Dec-13,Platinum,Grocery,M,68065,680,60+,300000,50000,100,POS
4582,"Greater Mumbai, India",10-Apr-15,Silver,Entertainment,F,164033,1640,26-35,300000,50000,100,Online
4583,"Ahmedabad, India",26-Nov-14,Platinum,Food,F,281658,2816,46-60,300000,50000,100,Online
4584,"Greater Mumbai, India",21-Jan-15,Signature,Entertainment,M,295463,2954,26-35,800000,200000,100,Online
4585,"Ahmedabad, India",29-Sep-14,Silver,Entertainment,F,79202,792,46-60,1200000,300000,26.4,POS
4586,"Ahmedabad, India",17-Nov-13,Platinum,Food,F,12951,129,46-60,2000000,500000,2.59,POS
4587,"Delhi, India",21-Nov-13,Gold,Bills,M,267374,2673,60+,300000,50000,100,Online
4588,"Ahmedabad, India",16-Oct-14,Signature,Grocery,F,170471,1704,26-35,1200000,300000,56.82,Online
4589,"Greater Mumbai, India",30-May-14,Platinum,Fuel,M,127338,1273,46-60,300000,50000,100,POS
4590,"Greater Mumbai, India",29-Dec-14,Signature,Fuel,F,116195,1161,60+,800000,200000,58.1,POS
4591,"Delhi, India",08-Feb-15,Gold,Entertainment,F,137119,1371,46-60,2000000,500000,27.42,POS
4592,"Greater Mumbai, India",09-Sep-14,Signature,Bills,F,274492,2744,46-60,500000,100000,100,Online
4593,"Ahmedabad, India",06-Sep-14,Silver,Grocery,F,268855,2688,60+,2000000,500000,53.77,Online
4594,"Greater Mumbai, India",17-Jun-14,Silver,Food,F,199403,1994,26-35,800000,200000,99.7,Online
4595,"Greater Mumbai, India",15-Feb-15,Gold,Fuel,M,232373,2323,26-35,1200000,300000,77.46,Online
4596,"Delhi, India",18-Sep-14,Platinum,Entertainment,F,151051,1510,18-25,800000,200000,75.53,POS
4597,"Greater Mumbai, India",29-Nov-14,Signature,Entertainment,M,248658,2486,46-60,300000,50000,100,Online
4598,"Bengaluru, India",07-Mar-14,Platinum,Food,M,209347,2093,26-35,500000,100000,100,Online
4599,"Bengaluru, India",29-Apr-14,Signature,Grocery,F,175732,1757,60+,1200000,300000,58.58,Online
4600,"Delhi, India",12-May-15,Signature,Bills,M,103433,1034,26-35,800000,200000,51.72,POS
4601,"Greater Mumbai, India",24-Sep-14,Platinum,Entertainment,F,285341,2853,26-35,300000,50000,100,Online
4602,"Bengaluru, India",11-Mar-14,Platinum,Grocery,M,125159,1251,36-45,2000000,500000,25.03,POS
4603,"Greater Mumbai, India",18-Oct-14,Silver,Entertainment,F,264418,2644,60+,800000,200000,100,Online
4604,"Delhi, India",17-Nov-13,Platinum,Fuel,M,91677,916,36-45,1200000,300000,30.56,POS
4605,"Bengaluru, India",26-Jun-14,Signature,Entertainment,F,150662,1506,26-35,2000000,500000,30.13,POS
4606,"Greater Mumbai, India",09-Feb-15,Gold,Fuel,M,45391,453,18-25,1200000,300000,15.13,POS
4607,"Greater Mumbai, India",07-Dec-14,Platinum,Food,F,61669,616,26-35,800000,200000,30.83,POS
4608,"Bengaluru, India",21-Oct-14,Gold,Fuel,M,232677,2326,26-35,2000000,500000,46.54,Online
4609,"Delhi, India",21-May-15,Signature,Fuel,M,87608,876,36-45,2000000,500000,17.52,POS
4610,"Bengaluru, India",08-Nov-14,Signature,Entertainment,M,180139,1801,46-60,2000000,500000,36.03,Online
4611,"Greater Mumbai, India",11-Mar-15,Platinum,Entertainment,M,74382,743,18-25,800000,200000,37.19,POS
4612,"Greater Mumbai, India",13-Sep-14,Gold,Food,F,229254,2292,18-25,800000,200000,100,Online
4613,"Delhi, India",03-Jan-14,Platinum,Entertainment,M,232994,2329,26-35,1200000,300000,77.66,Online
4614,"Ahmedabad, India",27-Apr-14,Silver,Food,M,49600,496,36-45,800000,200000,24.8,POS
4615,"Ahmedabad, India",04-Apr-14,Platinum,Grocery,F,268595,2685,36-45,500000,100000,100,Online
4616,"Ahmedabad, India",26-Apr-15,Silver,Grocery,F,196094,1960,26-35,300000,50000,100,Online
4617,"Ahmedabad, India",13-Nov-14,Signature,Fuel,F,127888,1278,46-60,1200000,300000,42.63,POS
4618,"Greater Mumbai, India",25-Nov-14,Gold,Grocery,F,47247,472,36-45,300000,50000,94.49,POS
4619,"Ahmedabad, India",17-May-14,Silver,Bills,F,136478,1364,18-25,2000000,500000,27.3,POS
4620,"Ahmedabad, India",27-May-14,Gold,Bills,F,297523,2975,26-35,2000000,500000,59.5,Online
4621,"Greater Mumbai, India",29-Mar-14,Signature,Fuel,F,139910,1399,36-45,300000,50000,100,POS
4622,"Greater Mumbai, India",02-Dec-13,Gold,Entertainment,F,49327,493,26-35,300000,50000,98.65,POS
4623,"Greater Mumbai, India",12-Dec-14,Platinum,Fuel,F,6176,61,46-60,300000,50000,12.35,POS
4624,"Bengaluru, India",18-Feb-15,Signature,Food,M,287628,2876,26-35,500000,100000,100,Online
4625,"Bengaluru, India",07-Sep-14,Silver,Grocery,F,177005,1770,60+,500000,100000,100,Online
4626,"Bengaluru, India",06-Feb-14,Gold,Entertainment,M,4906,49,26-35,500000,100000,4.91,POS
4627,"Bengaluru, India",26-Dec-14,Platinum,Entertainment,M,246756,2467,26-35,500000,100000,100,Online
4628,"Ahmedabad, India",19-Oct-14,Silver,Bills,M,138511,1385,46-60,1200000,300000,46.17,POS
4629,"Bengaluru, India",08-May-15,Silver,Bills,M,148552,1485,18-25,300000,50000,100,POS
4630,"Ahmedabad, India",11-Apr-15,Platinum,Grocery,M,158677,1586,26-35,2000000,500000,31.74,Online
4631,"Ahmedabad, India",08-Feb-14,Signature,Bills,F,260920,2609,26-35,2000000,500000,52.18,Online
4632,"Bengaluru, India",19-Dec-13,Platinum,Fuel,M,265988,2659,60+,1200000,300000,88.66,Online
4633,"Ahmedabad, India",12-Feb-14,Signature,Fuel,F,27927,279,26-35,500000,100000,27.93,POS
4634,"Bengaluru, India",17-Jan-15,Gold,Food,F,188026,1880,46-60,2000000,500000,37.61,Online
4635,"Ahmedabad, India",24-Mar-15,Platinum,Entertainment,M,296977,2969,46-60,1200000,300000,98.99,Online
4636,"Bengaluru, India",12-Apr-14,Silver,Entertainment,M,7789,77,18-25,800000,200000,3.89,POS
4637,"Ahmedabad, India",30-Nov-14,Platinum,Entertainment,M,47532,475,26-35,1200000,300000,15.84,POS
4638,"Bengaluru, India",10-Jul-14,Silver,Entertainment,M,246790,2467,26-35,500000,100000,100,Online
4639,"Ahmedabad, India",03-May-14,Signature,Bills,F,126049,1260,46-60,500000,100000,100,POS
4640,"Greater Mumbai, India",16-Jul-14,Gold,Entertainment,M,179541,1795,60+,1200000,300000,59.85,Online
4641,"Bengaluru, India",09-Jan-14,Signature,Food,F,57591,575,26-35,500000,100000,57.59,POS
4642,"Delhi, India",18-Feb-15,Silver,Fuel,F,243074,2430,46-60,1200000,300000,81.02,Online
4643,"Ahmedabad, India",04-Nov-13,Silver,Fuel,F,244917,2449,46-60,1200000,300000,81.64,Online
4644,"Delhi, India",31-Oct-14,Platinum,Food,M,24765,247,26-35,300000,50000,49.53,POS
4645,"Ahmedabad, India",07-Feb-14,Signature,Entertainment,M,295553,2955,26-35,300000,50000,100,Online
4646,"Delhi, India",02-May-14,Silver,Fuel,M,224591,2245,36-45,800000,200000,100,Online
4647,"Ahmedabad, India",02-Dec-13,Gold,Fuel,M,257442,2574,36-45,1200000,300000,85.81,Online
4648,"Bengaluru, India",14-May-14,Signature,Food,M,71597,715,26-35,300000,50000,100,POS
4649,"Greater Mumbai, India",04-May-15,Platinum,Bills,F,204811,2048,36-45,800000,200000,100,Online
4650,"Greater Mumbai, India",13-Dec-13,Platinum,Food,M,119116,1191,26-35,2000000,500000,23.82,POS
4651,"Bengaluru, India",29-Mar-15,Signature,Grocery,F,270240,2702,36-45,2000000,500000,54.05,Online
4652,"Bengaluru, India",31-Aug-14,Signature,Grocery,F,172515,1725,18-25,800000,200000,86.26,Online
4653,"Greater Mumbai, India",14-Feb-14,Platinum,Fuel,F,132273,1322,36-45,800000,200000,66.14,POS
4654,"Bengaluru, India",11-Jul-14,Gold,Bills,M,18829,188,36-45,800000,200000,9.41,POS
4655,"Greater Mumbai, India",09-Oct-13,Signature,Grocery,M,37495,374,26-35,2000000,500000,7.5,POS
4656,"Greater Mumbai, India",11-Apr-15,Silver,Fuel,M,209291,2092,46-60,2000000,500000,41.86,Online
4657,"Greater Mumbai, India",16-May-15,Gold,Entertainment,M,22289,222,26-35,800000,200000,11.14,POS
4658,"Ahmedabad, India",27-Jun-14,Silver,Food,F,78379,783,26-35,2000000,500000,15.68,POS
4659,"Ahmedabad, India",31-Dec-13,Signature,Food,M,198893,1988,26-35,1200000,300000,66.3,Online
4660,"Ahmedabad, India",06-Apr-14,Gold,Entertainment,M,88507,885,36-45,300000,50000,100,POS
4661,"Greater Mumbai, India",27-Apr-14,Silver,Food,M,85667,856,60+,2000000,500000,17.13,POS
4662,"Ahmedabad, India",10-Jan-14,Silver,Grocery,M,13233,132,26-35,300000,50000,26.47,POS
4663,"Delhi, India",05-Apr-15,Gold,Bills,F,58109,581,60+,2000000,500000,11.62,POS
4664,"Greater Mumbai, India",06-Apr-15,Signature,Bills,F,284336,2843,46-60,300000,50000,100,Online
4665,"Bengaluru, India",08-Jan-15,Platinum,Food,M,177499,1774,26-35,2000000,500000,35.5,Online
4666,"Ahmedabad, India",09-Jun-14,Gold,Food,M,132135,1321,26-35,800000,200000,66.07,POS
4667,"Delhi, India",14-Jan-15,Silver,Grocery,M,207310,2073,26-35,500000,100000,100,Online
4668,"Ahmedabad, India",23-Aug-14,Gold,Entertainment,M,257220,2572,26-35,2000000,500000,51.44,Online
4669,"Delhi, India",06-May-14,Signature,Entertainment,M,247061,2470,26-35,300000,50000,100,Online
4670,"Delhi, India",13-Dec-13,Gold,Grocery,F,269513,2695,36-45,300000,50000,100,Online
